raw_text_examples,normalized_suggestion,occurrences,example_recipe_ids,notes
"۱ عدد فلفل دلمه‌ای سبز، نازک خلالی‌شده","فلفل دلمه‌ای سبز نازک خلالی‌شده","1","1305",""
"۱ عدد فلفل دلمه‌ای قرمز، نازک خلالی‌شده","فلفل دلمه‌ای قرمز نازک خلالی‌شده","1","1305",""
"۱۸۰ گرم برنج پخته (برای سرو)","برنج پخته (برای سرو)","1","1305",""
"میخک آسیاب‌شده – ½ قاشق چای‌خوری","میخک آسیاب‌شده ½ قاشق چای‌خوری","1","1308",""
"پودر اورگانو – ۱ قاشق چای‌خوری","پودر اورگانو قاشق چای‌خوری","1","1308",""
"نان ترتیلا آردی – ۸ عدد","نان ترتیلا آردی","1","1308",""
"آرد سفید – ۵۰۰ گرم (برای ترتیلا خانگی)","آرد سفید (برای ترتیلا خانگی)","1","1308",""
"بیکینگ‌پودر – ½ قاشق چای‌خوری","بیکینگ‌پودر ½ قاشق چای‌خوری","1","1308",""
"روغن جامد یا مارگارین – ۱۰۰ گرم","روغن جامد یا مارگارین","1","1308",""
"آب ولرم – ½ پیمانه","آب ولرم ½","1","1308",""
"گوجه‌فرنگی، حلقه‌ای نازک","گوجه‌فرنگی حلقه‌ای نازک","1","1310",""
"سرکه یا سرکه سیب","سرکه یا سرکه سیب","1","1310",""
"ادویه سالاد (کنجد آسیاب‌شده، نعناع، گشنیز، نمک، فلفل سیاه، سیر)","ادویه سالاد (کنجد آسیاب‌شده نعناع گشنیز نمک فلفل سیاه سیر)","1","1310",""
"۳ پیمانه کدو سبز ورقه‌ای نازک","کدو سبز ورقه‌ای نازک","1","1314",""
"۲ قاشق چای‌خوری آویشن تازه خردشده (یا ½ قاشق چای‌خوری خشک)","قاشق چای‌خوری آویشن تازه خردشده (یا ½ قاشق چای‌خوری خشک)","1","1314",""
"۲ قاشق چای‌خوری اورگانو تازه خردشده (یا ½ قاشق چای‌خوری خشک)","قاشق چای‌خوری اورگانو تازه خردشده (یا ½ قاشق چای‌خوری خشک)","1","1314",""
"۲ قاشق چای‌خوری ریحان تازه خردشده (یا ۱ قاشق چای‌خوری خشک)","قاشق چای‌خوری ریحان تازه خردشده (یا قاشق چای‌خوری خشک)","1","1314",""
"۲ قاشق چای‌خوری نعناع تازه خردشده (یا ۱ قاشق چای‌خوری خشک)","قاشق چای‌خوری نعناع تازه خردشده (یا قاشق چای‌خوری خشک)","1","1314",""
"۶ برش گوجه‌فرنگی (حدود ۱ سانتی‌متر ضخامت)","برش گوجه‌فرنگی (حدود سانتی‌متر ضخامت)","1","1314",""
"۶ برش پپرونی (حدود ۵ میلی‌متر ضخامت)","برش پپرونی (حدود میلی‌متر ضخامت)","1","1314",""
"½ پیمانه سرکه","½ سرکه","1","556",""
"۱ بسته خمیر لازانیا آماده","خمیر لازانیا آماده","1","250",""
"۲۰۰ گرم پنیر موتزارلا رنده شده","پنیر موتزارلا رنده شده","1","250",""
"سس بشامل سبک – ۱ پیمانه","سس بشامل سبک","1","1274",""
"برگ بو – ۲ عدد (اختیاری)","برگ بو (اختیاری)","1","1274",""
"۱ پیمانه سبزیجات مخلوط (نخودفرنگی، هویج، فلفل دلمه‌ای)","سبزیجات مخلوط (نخودفرنگی هویج فلفل دلمه‌ای)","1","1530",""
"پروتئین اختیاری: میگوی پخته، مرغ پخته یا توفو","پروتئین اختیاری: میگوی پخته مرغ پخته یا توفو","1","1530",""
"۱.۵ فنجان جوی پرک",". فنجان جوی پرک","1","515",""
"نمک، زردچوبه و آبلیمو به میزان لازم","نمک زردچوبه و آبلیمو","1","515",""
"استاک مرغ یک و نیم لیتر","استاک مرغ یک و نیم","1","514",""
"سینه‌ مرغ بدون استخوان 250 گرم","سینه‌ مرغ بدون استخوان","1","514",""
"روغن‌ مایع سه قاشق سوپخوری","روغن‌ مایع سه قاشق سوپخوری","1","514",""
"پیاز متوسط خرد شده یک عدد","پیاز متوسط خرد شده یک","1","514",""
"هویج متوسط سه عدد","هویج متوسط سه","1","514",""
"ساقه کرفس دو عدد","ساقه کرفس دو","1","514",""
"کلم‌بروکلی 100 گرم","کلم‌بروکلی","1","514",""
"پاستا صدفی ریز 100 گرم","پاستا صدفی ریز","1","514",""
"جعفری خرد شده سه قاشق سوپخوری","جعفری خرد شده سه قاشق سوپخوری","1","514",""
"جوز هندی نیم قاشق چایخوری","جوز هندی نیم","1","514",""
"زنجبیل نیم قاشق چایخوری","زنجبیل نیم","1","514",""
"۵۰۰ گرم سیب‌زمینی، پوست‌کنده و خردشده به مکعب‌های متوسط","سیب‌زمینی پوست‌کنده و خردشده به مکعب‌های متوسط","1","1315",""
"۳ عدد گوجه‌فرنگی بزرگ، نگینی خردشده","گوجه‌فرنگی بزرگ نگینی خردشده","1","1315",""
"حدود ۶ قاشق غذاخوری روغن زیتون","حدود روغن زیتون","1","1315",""
"فلفل سبز تند تازه (اختیاری)، ریز خردشده","فلفل سبز تند تازه (اختیاری) ریز خردشده","1","1315",""
"۴ برش نان تست بزرگ","برش نان تست بزرگ","1","760",""
"۴ برش ژامبون مرغ","برش ژامبون مرغ","1","760",""
"۴ برش ژامبون بوقلمون","برش ژامبون بوقلمون","1","760",""
"۲ برش پنیر پارمزان","برش پنیر پارمزان","1","760",""
"۲ برش پنیر چدار","برش پنیر چدار","1","760",""
"پودر قند، برای تزیین (اختیاری)","پودر قند  (اختیاری)","1","760",""
"کره، به مقدار لازم برای سرخ کردن","کره  برای سرخ کردن","1","760",""
"۱ کیلوگرم اسپاگتی","کیلو اسپاگتی","1","77",""
"۱ فلفل تند یا فلفل دلمه‌ای","فلفل تند یا فلفل دلمه‌ای","1","77",""
"۱/۴ قاشق چای‌خوری ریحان خشک","/ قاشق چای‌خوری ریحان خشک","1","77",""
"دو قاشق غذاخوری ذرت کنسروی","دو ذرت کنسروی","1","516",""
"دو قاشق غذاخوری گندم پوست گرفته","دو گندم پوست گرفته","1","516",""
"یک قاشق غذاخوری برنج","یک برنج","1","516",""
"دو قاشق غذاخوری جو پرک","دو جو پرک","1","516",""
"سه عدد هویج نیم‌پز شده","سه هویج نیم‌پز شده","1","516",""
"یک قاشق غذاخوری کره یا روغن","یک کره یا روغن","1","516",""
"گوشت گوساله یا بره، نازک برش‌خورده","گوشت گوساله یا بره نازک برش‌خورده","1","945",""
"نمک دریایی","نمک دریایی","1","945",""
"پیاز قرمز حلقه‌شده","پیاز قرمز حلقه‌شده","1","945",""
"فلفل دلمه‌ای برش‌خورده","فلفل دلمه‌ای برش‌خورده","1","945",""
"۲ فنجان سس فرانسوی","فنجان سس فرانسوی","1","274",""
"خرده نان","خرده نان","1","274",""
"۱/۲ پیمانه برگ ریحان تازه خردشده","/ برگ ریحان تازه خردشده","1","1528",""
"۱ پیمانه سس مارینارا","سس مارینارا","1","1528",""
"سیب‌زمینی آب‌پز، نگینی","سیب‌زمینی آب‌پز نگینی","1","1316",""
"سوسیس مرغ دودی، خردشده","سوسیس مرغ دودی خردشده","1","1316",""
"گوجه‌فرنگی ورقه‌شده (برای تزیین)","گوجه‌فرنگی ه‌شده ()","1","1316",""
"برگ کاهو (برای تزیین)","برگ کاهو ()","1","1316",""
"چیپس (برای سرو)","چیپس (برای سرو)","1","1316",""
"اختیاری: کدو سبز، قارچ، گوجه‌فرنگی یا شوید خردشده","اختیاری: کدو سبز قارچ گوجه‌فرنگی یا شوید خردشده","1","1317",""
"۲۰۰ گرم گوشت گاو، نازک برش‌خورده","گوشت گاو نازک برش‌خورده","1","1527",""
"۱ قاشق چای‌خوری روغن چیلی (بنا به ذائقه)","قاشق چای‌خوری روغن چیلی (بنا به ذائقه)","1","1527",""
"۲۵۰ میلی‌لیتر خامه پاستوریزه","میلی‌ خامه پاستوریزه","1","1318",""
"نخود پخته (کنسروی یا از قبل پخته)، آبکش و شسته‌شده","نخود پخته (کنسروی یا از قبل پخته) آبکش و شسته‌شده","1","554",""
"حبه‌های سیر، ریز خردشده","‌های سیر ریز خردشده","1","554",""
"جعفری تازه، ریز خردشده (برای تزیین)","جعفری تازه ریز خردشده ()","1","554",""
"۱ عدد ماهی کپور علف‌خوار کامل یا هر ماهی سفید (تمیز و فیله‌شده)","ماهی کپور علف‌خوار کامل یا هر ماهی سفید (تمیز و فیله‌شده)","1","1522",""
"۲ حبه سیر، ورقه‌ای","سیر ورقه‌ای","1","1322",""
"۱ عدد گوجه‌فرنگی، ورقه‌ای","گوجه‌فرنگی ورقه‌ای","1","1322",""
"گوشت چرخ‌کرده (گاو یا گوسفند)","گوشت چرخ‌کرده (گاو یا گوسفند)","1","941",""
"فلفل دلمه‌ای سبز، حلقه‌ای خردشده","فلفل دلمه‌ای سبز حلقه‌ای خردشده","1","941",""
"زعفران (یک پنس کوچک، دم‌کرده)","زعفران (یک پنس کوچک دم‌کرده)","1","1334",""
"پنیر پیتزای کش‌دار (مانند موزارلا)","پنیر پیتزای کش‌دار (مانند موزارلا)","1","1334",""
"۴ تا ۵ عدد گوجه‌فرنگی متوسط، خردشده","تا گوجه‌فرنگی متوسط خردشده","1","804",""
"۴ تا ۵ قاشق غذاخوری روغن یا کره ذوب‌شده","تا روغن یا کره ذوب‌شده","1","804",""
"۱/۲ پیمانه روغن مایع (کانولا یا آفتابگردان)","/ روغن مایع (کانولا یا آفتابگردان)","1","917",""
"۱/۲ پیمانه ذرت کنسروی، آبکش‌شده","/ ذرت کنسروی آبکش‌شده","1","917",""
"۱/۲ پیمانه قارچ، ورقه‌ای خردشده","/ قارچ ورقه‌ای خردشده","1","917",""
"زیتون خردشده به مقدار دلخواه","زیتون خردشده به مقدار","1","917",""
"۴ عدد نان تورتیلا ذرت","نان تورتیلا ذرت","1","1517",""
"۱ پیمانه پنیر رنده‌شده (چدار، اوآخاکا یا موزارلا)","پنیر رنده‌شده (چدار اوآخاکا یا موزارلا)","1","1517",""
"½ پیمانه مرغ یا گوشت پخته و ریش‌ریش‌شده (اختیاری)","½ مرغ یا گوشت پخته و ریش‌ریش‌شده (اختیاری)","1","1517",""
"¼ پیمانه پیاز نگینی خردشده","¼ پیاز نگینی خردشده","1","1517",""
"¼ پیمانه فلفل دلمه‌ای یا هالوپینو خردشده","¼ فلفل دلمه‌ای یا هالوپینو خردشده","1","1517",""
"سالسا برای سرو","سالسا برای سرو","1","1517",""
"چند ساقه کرفس خردشده (برگ‌ها برای تزیین کنار گذاشته شود)","چند ساقه کرفس خردشده (برگ‌ها  کنار گذاشته شود)","1","581",""
"۱ عدد سیب‌زمینی متوسط، خردشده","سیب‌زمینی متوسط خردشده","1","581",""
"۱ تا ۲ قاشق غذاخوری آب‌لیموی تازه","تا آب‌لیموی تازه","1","581",""
"۳۰۰ گرم ترخون تازه","ترخون تازه","1","179",""
"۱ پیمانه لوبیای سرخ‌شده (رفراید بینز)","لوبیای سرخ‌شده (رفراید بینز)","1","1513",""
"۱ پیمانه سالسا (خانگی یا آماده)","سالسا (خانگی یا آماده)","1","1513",""
"۱ قاشق چای‌خوری زیرهٔ آسیاب‌شده","قاشق چای‌خوری زیرهٔ آسیاب‌شده","1","1513",""
"برش‌های آووکادو (اختیاری)","برش‌های آووکادو (اختیاری)","1","1513",""
"۱۵۰ گرم (۳/۴ پیمانه) برنج، خیسانده","گرم (/ ) برنج خیسانده","1","491",""
"۴۰ گرم (۱/۴ پیمانه) لپه، پخته شده","گرم (/ ) لپه پخته شده","1","491",""
"۲۵ گرم (۱/۴ پیمانه) کشمش","گرم (/ ) کشمش","1","491",""
"۲ قاشق غذاخوری نعنا تازه، خرد شده","نعنا تازه خرد شده","1","491",""
"سبزی دلمه (جعفری، شوید، نعناع)","سبزی دلمه (جعفری شوید نعناع)","1","1335",""
"گوجه‌فرنگی درشت و سفت","گوجه‌فرنگی درشت و سفت","1","1335",""
"۱ فنجان خرده نان","فنجان خرده نان","1","273",""
"۳ فنجان گوجه‌فرنگی کنسروی، پوره شده","فنجان گوجه‌فرنگی کنسروی پوره شده","1","273",""
"۱ پیمانه مربا (هر نوع دلخواه)","مربا (هر نوع )","1","809",""
"1/2 فنجان پیاز داغ","/2 فنجان پیاز داغ","1","521",""
"3 قاشق غذاخوری نعنا خشک","نعنا خشک","1","521",""
"1/2 فنجان آبلیمو","/2 فنجان آبلیمو","1","521",""
"روغن زیتون (برای تفت دادن)","روغن زیتون (برای تفت دادن)","1","922",""
"دانه‌های بلال","دانه‌های بلال","1","522",""
"برگ کرفس","برگ کرفس","1","522",""
"برگ جعفری","برگ جعفری","1","522",""
"گوجه‌فرنگی گیلاسی","گوجه‌فرنگی گیلاسی","1","939",""
"پونه کوهی (اُرگانو)","پونه کوهی (اُرگانو)","1","939",""
"۲۰۰ گرم گوشت چرخ‌کرده (ترجیحاً خوک؛ قابل جایگزینی با گوشت گاو، بره یا بوقلمون)","گوشت چرخ‌کرده (ترجیحاً خوک؛ قابل جایگزینی با گوشت گاو بره یا بوقلمون)","1","1510",""
"۱۰۰ گرم کلم ناپا، بسیار ریز خردشده","کلم ناپا بسیار ریز خردشده","1","1510",""
"2 فنجان آب گوجه فرنگی","فنجان آب گوجه فرنگی","1","276",""
"قدری جعفری ساطوری شده","قدری جعفری ساطوری شده","1","276",""
"۱ قاشق غذاخوری سرکه سیاه چینی","سرکه سیاه چینی","1","1506",""
"۱ قاشق چای‌خوری روغن چیلی","قاشق چای‌خوری روغن چیلی","1","1506",""
"مرغ یا بره (اختیاری)","مرغ یا بره (اختیاری)","1","305",""
"۲ عدد تره‌فرنگی متوسط، خردشده","تره‌فرنگی متوسط خردشده","1","549",""
"پونه کوهی (اورگانو)","پونه کوهی (اورگانو)","1","938",""
"1 فنجان عدس سبز یا قهوه‌ای","فنجان عدس سبز یا قهوه‌ای","1","523",""
"1 فنجان پاستای کوچک مانند دیتالینی یا اورزو","فنجان پاستای کوچک مانند دیتالینی یا اورزو","1","523",""
"4 فنجان عصاره سبزیجات یا آب","فنجان عصاره سبزیجات یا آب","1","523",""
"1 شاخه کرفس، خرد شده","کرفس خرد شده","1","523",""
"۱/۲ پیمانه دال تور (لپه نخود کبوتر)","/ دال تور (لپه نخود کبوتر)","1","1505",""
"۲ قاشق غذاخوری خمیر تمرهندی","خمیر تمرهندی","1","1505",""
"۲ تا ۳ پیمانه آب (و در صورت نیاز بیشتر)","تا آب (و در صورت نیاز بیشتر)","1","1505",""
"۱ قاشق غذاخوری روغن یا کره حیوانی (گی)","روغن یا کره حیوانی (گی)","1","1505",""
"اختیاری: یک پنس آنغوزه (هینگ)","اختیاری: یک پنس آنغوزه (هینگ)","1","1505",""
"۱۵۰ گرم قارچ اسلایس‌شده","قارچ اسلایس‌شده","1","937",""
"۲ پیمانه سوسیس برش‌خورده","سوسیس برش‌خورده","1","937",""
"نصف لیوان ماست چکیده","نصف ماست چکیده","1","1268",""
"۱ قاشق چای‌خوری زنجبیل تازه، ریز رنده‌شده","قاشق چای‌خوری زنجبیل تازه ریز رنده‌شده","1","1268",""
"۱ قاشق چای‌خوری فلفل سیاه، به‌علاوه کمی برای تزیین","قاشق چای‌خوری فلفل سیاه به‌علاوه","1","1268",""
"گوجه‌فرنگی تازه خردشده (به میزان دلخواه)","گوجه‌فرنگی تازه خردشده (به میزان )","1","1337",""
"نیم قاشق چای‌خوری زعفران ساییده حل‌شده در آب داغ","نیم قاشق چای‌خوری زعفران ساییده حل‌شده در آب داغ","1","1337",""
"۱ تا ۱.۵ لیتر آب","تا . آب","1","1337",""
"اسپاگتی (پاستای بلند)","اسپاگتی (پاستای بلند)","1","1337",""
"گل‌های بروکلی","گل‌های بروکلی","1","544",""
"۱ کیلوگرم گوشت بره، خردشده در اندازه لقمه‌ای","کیلو گوشت بره خردشده در اندازه لقمه‌ای","1","1267",""
"۱ قاشق غذاخوری زیره سبز آسیاب‌شده","زیره سبز آسیاب‌شده","1","1267",""
"۱ قاشق چای‌خوری پودر چیلی (بنا به ذائقه)","قاشق چای‌خوری پودر چیلی (بنا به ذائقه)","1","1267",""
"۴۰۰ گرم گوجه‌فرنگی خردشده کنسروی","گوجه‌فرنگی خردشده کنسروی","1","1267",""
"۲ پیمانه آب یا آبِ گوشت بره","آب یا آبِ گوشت بره","1","1267",""
"۱ عدد هویج بزرگ، حلقه‌ای خردشده","هویج بزرگ حلقه‌ای خردشده","1","1267",""
"۱ عدد سیب‌زمینی بزرگ، مکعبی خردشده","سیب‌زمینی بزرگ مکعبی خردشده","1","1267",""
"گوشت چرخ‌کرده (گوساله یا مخلوط گوساله و گوسفند)","گوشت چرخ‌کرده (گوساله یا مخلوط گوساله و گوسفند)","1","1339",""
"۶ حبه سیر، کمی له‌شده","سیر  له‌شده","1","545",""
"۴ برگ تازه رزماری یا ۱ قاشق غذاخوری رزماری خشک","برگ تازه رزماری یا رزماری خشک","1","545",""
"۱ پیمانه گوجه‌فرنگی خردشده (تازه یا کنسروی)","گوجه‌فرنگی خردشده (تازه یا کنسروی)","1","545",""
"۲ پیمانه اسفناج خردشده یخ‌زده","اسفناج خردشده یخ‌زده","1","545",""
"۶ قاشق چای‌خوری روغن زیتون (اختیاری، برای سرو)","قاشق چای‌خوری روغن زیتون (اختیاری برای سرو)","1","545",""
"۶ قاشق غذاخوری پنیر پارمزان رنده‌شده (برای سرو)","پنیر پارمزان رنده‌شده (برای سرو)","1","545",""
"۱ و ۱/۲ پیمانه نخودفرنگی پخته","و / نخودفرنگی پخته","1","317",""
"۳۵۰ گرم قارچ برش خورده و تفت داده شده","قارچ برش خورده و تفت داده شده","1","317",""
"روغن و کره به مقدار لازم","روغن و کره","1","317",""
"۵۰۰ گرم سیب زمینی خرد شده و سرخ کرده","سیب زمینی خرد شده و سرخ کرده","1","317",""
"۹۰۰ گرم شانه خوک (یا گوشت گاو، بره، مرغ یا بوقلمون)","شانه خوک (یا گوشت گاو بره مرغ یا بوقلمون)","1","1501",""
"¼ پیمانه عسل","¼ عسل","1","1501",""
"¼ پیمانه سس هویسین","¼ سس هویسین","1","1501",""
"۱ قاشق چای‌خوری پودر پنج‌ادویه چینی","قاشق چای‌خوری پودر پنج‌ادویه چینی","1","1501",""
"۱ قاشق چای‌خوری رنگ خوراکی قرمز (اختیاری)","قاشق چای‌خوری رنگ خوراکی قرمز (اختیاری)","1","1501",""
"آب مرغ یا سبزیجات","آب مرغ یا سبزیجات","1","524",""
"تکه‌های گوشت یا مرغ","تکه‌های گوشت یا مرغ","1","318",""
"کره واضح/روغن حیوانی","کره واضح/روغن حیوانی","1","318",""
"۵۰۰ گرم میگوی تازه، پوست‌گرفته و رگ‌گیری‌شده","میگوی تازه پوست‌گرفته و رگ‌گیری‌شده","1","1341",""
"1.5 کیلوگرم گوشت گاو چاک یا شینک; مکعبی خرد شده","کیلو گوشت گاو چاک یا شینک مکعبی خرد شده","1","528",""
"1 چغندر قرمز; قطعه قطعه شده","چغندر قرمز قطعه قطعه شده","1","528",""
"150 گرم لوبیا سبز; پخته شده","لوبیا سبز پخته شده","1","528",""
"1 کیلوگرم کلم; خرد شده","کیلو کلم خرد شده","1","528",""
"3 هویج; قطعه قطعه شده","هویج قطعه قطعه شده","1","528",""
"200 گرم لوبیا کلیه یا پینتو; پخته شده","لوبیا کلیه یا پینتو پخته شده","1","528",""
"3 سیب زمینی; قطعه قطعه شده","سیب زمینی قطعه قطعه شده","1","528",""
"۱ پیمانه سمولینا (سوجی)","سمولینا (سوجی)","1","1497",""
"روغن برای سرخ‌کردن عمیق","روغن برای سرخ‌کردن عمیق","1","1497",""
"۱ پیمانه سیب‌زمینی آب‌پز و له‌شده","سیب‌زمینی آب‌پز و له‌شده","1","1497",""
"۱/۲ پیمانه نخود آب‌پز","/ نخود آب‌پز","1","1497",""
"۱/۴ پیمانه برگ گشنیز تازه خردشده","/ برگ گشنیز تازه خردشده","1","1497",""
"۱ قاشق غذاخوری تمرهندی","تمرهندی","1","1497",""
"۲ قاشق چای‌خوری پودر زیره بو داده","قاشق چای‌خوری پودر زیره بو داده","1","1497",""
"چاتنی سبز (گشنیز/نعناع)","چاتنی سبز (گشنیز/نعناع)","1","1497",""
"آب نعناع (پانی)","آب نعناع (پانی)","1","1497",""
"۵۰۰ گرم سبزی تازه شامل تره، جعفری، نعناع، ترخون، مرزه، پیازچه","سبزی تازه شامل تره جعفری نعناع ترخون مرزه پیازچه","1","486",""
"نصف فنجان لپه","نصف فنجان لپه","1","486",""
"۱ فنجان روغن","فنجان روغن","1","486",""
"۱ قاشق غذاخوری رب گوجه فرنگی یا ۲ فنجان آب گوجه فرنگی","رب گوجه فرنگی یا فنجان آب گوجه فرنگی","1","486",""
"۱۰۰ گرم قارچ تازه، ورقه‌شده","قارچ تازه ورقه‌شده","1","929",""
"۱ قاشق غذاخوری اورگانو یا آویشن شیرازی","اورگانو یا آویشن شیرازی","1","929",""
"فلفل دلمه‌ای مخلوط (قرمز، زرد و سبز)، ورقه‌شده","فلفل دلمه‌ای مخلوط (قرمز زرد و سبز) ه‌شده","1","927",""
"ادویه ایتالیایی","ادویه ایتالیایی","1","927",""
"۳ عدد تخم مرغ (یک زرده جدا)","تخم مرغ (یک زرده جدا)","1","327",""
"۱/۲ پیمانه روغن جامد گیاهی یا دنبه/چربی گیاهی","/ روغن جامد گیاهی یا دنبه/چربی گیاهی","1","1482",""
"۲ پیمانه مغز دلخواه (مرغ ریش‌ریش، پنیر یا سبزیجات)","مغز  (مرغ ریش‌ریش پنیر یا سبزیجات)","1","1482",""
"برگ ذرت، ۳۰ دقیقه در آب گرم خیس‌خورده","برگ ذرت دقیقه در آب خیس‌خورده","1","1482",""
"یک کلم متوسط، خرد شده","یک کلم متوسط خرد شده","1","529",""
"دو هویج بزرگ، خرد شده","دو هویج بزرگ خرد شده","1","529",""
"یک پیاز بزرگ، ریز خرد شده","یک پیاز بزرگ ریز خرد شده","1","529",""
"چهار فنجان آب‌گوشت سبزیجات یا مرغ","چهار فنجان آب‌گوشت سبزیجات یا مرغ","1","529",""
"یک قاشق چای‌خوری پودر زردچوبه","یک قاشق چای‌خوری پودر زردچوبه","1","529",""
"یک قاشق غذاخوری جعفری تازه، خرد شده برای تزیین","یک جعفری تازه خرد شده","1","529",""
"۱ عدد پیاز، رنده‌شدهٔ ریز","پیاز رنده‌شدهٔ ریز","1","1343",""
"نیم قاشق چای‌خوری زعفران","نیم قاشق چای‌خوری زعفران","1","1343",""
"یک پنس فلفل سیاه","یک پنس فلفل سیاه","1","1343",""
"زبان گاو یا گوساله","زبان گاو یا گوساله","1","885",""
"۱ پیمانه نخود خشک، از شب قبل خیس‌خورده","نخود خشک از شب قبل خیس‌خورده","1","1493",""
"۱ قاشق غذاخوری خمیر زنجبیل و سیر","خمیر زنجبیل و سیر","1","1493",""
"۱ پنس زردچوبه","پنس زردچوبه","1","1493",""
"۱ قاشق چای‌خوری شنبلیله خشک (کاسوری متی)","قاشق چای‌خوری شنبلیله خشک (کاسوری متی)","1","1493",""
"نمک به میزان لازم (برای خمیر)","نمک  (برای خمیر)","1","1493",""
"آب به مقدار لازم (برای خمیر)","آب  (برای خمیر)","1","1493",""
"برنج: نصف لیوان","برنج: نصف","1","530",""
"روغن آب کرده: یک استکان","روغن آب کرده: یک استکان","1","530",""
"نمک و فلفل سیاه و قرمز: به مقدار کافی","نمک و فلفل سیاه و قرمز: به مقدار کافی","1","530",""
"گوشت چرخ کرده: نصف لیوان","گوشت چرخ کرده: نصف","1","530",""
"تخم مرغ: یک عدد","تخم مرغ: یک","1","530",""
"پیاز درشت: یک عدد","پیاز درشت: یک","1","530",""
"جعفری، گشنیز و کرفس خرد شده: از هر کدام نصف لیوان","جعفری گشنیز و کرفس خرد شده: از هر کدام نصف","1","530",""
"هویج خرد شده: نصف لیوان","هویج خرد شده: نصف","1","530",""
"۳ عدد تخم‌مرغ، آب‌پز و برش‌خورده","تخم‌مرغ آب‌پز و برش‌خورده","1","282",""
"۳ عدد گوجه‌فرنگی، برش‌خورده","گوجه‌فرنگی برش‌خورده","1","282",""
"روغن زیتون برای چرب کردن","روغن زیتون برای چرب کردن","1","282",""
"فلفل سیاه تازه‌ی آسیاب‌شده به میزان لازم","فلفل سیاه تازه‌ی آسیاب‌شده","1","254",""
"برگ‌های تازه‌ی ریحان برای تزیین","برگ‌های تازه‌ی ریحان","1","254",""
"فیله یا راسته گوساله با کمی چربی – ۲ کیلوگرم","فیله یا راسته گوساله با  چربی کیلو","1","1306",""
"عصاره گوشت – به میزان لازم برای مرطوب نگه‌داشتن گوشت","عصاره گوشت  برای مرطوب نگه‌داشتن گوشت","1","1306",""
"آب – در صورت نیاز، اگر مایع زود تبخیر شد","آب در صورت نیاز اگر مایع زود تبخیر شد","1","1306",""
"پوره سیب‌زمینی – برای سرو","پوره سیب‌زمینی برای سرو","1","1306",""
"نخودفرنگی سبز – برای سرو","نخودفرنگی سبز برای سرو","1","1306",""
"18 برگ ریحان تازه، خرد شده","برگ ریحان تازه خرد شده","1","536",""
"۴۵۰ گرم گوشت گوساله ورقه‌ای نازک","گوشت گوساله ورقه‌ای نازک","1","1487",""
"۴۵۰ گرم گوشت خوک ورقه‌ای نازک","گوشت خوک ورقه‌ای نازک","1","1487",""
"۴۵۰ گرم قارچ مخلوط (شیتاکه، انوکی و …)","قارچ مخلوط (شیتاکه انوکی و …)","1","1487",""
"۴۵۰ گرم سبزی‌های برگی (اسفناج، کلم چینی و …)","سبزی‌های برگی (اسفناج کلم چینی و …)","1","1487",""
"۱ بسته نودل اودون","نودل اودون","1","1487",""
"۱ تکه ۲–۳ سانتی‌متری زنجبیل تازه، ورقه‌شده","تکه سانتی‌متری زنجبیل تازه ه‌شده","1","1487",""
"۱ قاشق غذاخوری خمیر یا سس چیلی (اختیاری)","خمیر یا سس چیلی (اختیاری)","1","1487",""
"سس‌های دیپ متنوع (سس بادام‌زمینی، سس سویا و …)","سس‌های دیپ متنوع (سس بادام‌زمینی سس سویا و …)","1","1487",""
"سیب‌زمینی متوسط، خرد شده به صورت مکعبی","سیب‌زمینی متوسط خرد شده به صورت مکعبی","1","334",""
"پیاز کوچک، خلالی خرد شده","پیاز کوچک خلالی خرد شده","1","334",""
"زعفران دم کرده در ۲ قاشق غذاخوری آب گرم","زعفران دم کرده در آب گرم","1","334",""
"یک و نیم فنجان نان خرد شده","یک و نیم فنجان نان خرد شده","1","28",""
"دو حبه سیر له شده","دو سیر له شده","1","28",""
"نصف فنجان روغن زیتون","نصف فنجان روغن زیتون","1","28",""
"سه قاشق غذاخوری آبلیمو","سه آبلیمو","1","28",""
"دو و نیم فنجان کلم خرد شده","دو و نیم فنجان کلم خرد شده","1","28",""
"یک سوم فنجان پنیر پارمسان رنده شده","یک سوم فنجان پنیر پارمسان رنده شده","1","28",""
"۱ عدد اردک کامل (حدود ۲٫۵ تا ۳ کیلوگرم)","عدد اردک کامل (حدود ٫ تا کیلو)","1","1475",""
"¼ پیمانه مالتوز یا عسل","¼ مالتوز یا عسل","1","1475",""
"۱ قاشق غذاخوری پودر پنج‌ادویه چینی","پودر پنج‌ادویه چینی","1","1475",""
"۱ عدد خیار، خلالی‌شده","خیار خلالی‌شده","1","1475",""
"۴ تا ۶ عدد پیازچه، خلالی‌شده","تا پیازچه خلالی‌شده","1","1475",""
"پنکیک چینی یا نان نازک برای سرو","پنکیک چینی یا نان نازک برای سرو","1","1475",""
"سس هویسین برای سرو","سس هویسین برای سرو","1","1475",""
"۱ قاشق چای‌خوری زیره سبز، تقسیم‌شده","قاشق چای‌خوری زیره سبز تقسیم‌شده","1","1303",""
"۳ عدد تره‌فرنگی (حدود ۴۵۰ گرم)، خلالی خردشده","عدد تره‌فرنگی (حدود ) خلالی خردشده","1","1303",""
"۱۵۰ گرم برگ اسفناج، شسته‌شده","برگ اسفناج شسته‌شده","1","1303",""
